Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
4.30466,10,0,0,0,0.0832686,-0.039363,0.00671586,-0.000406756,10,0,0,0,0.0744942,-0.035425,0.0061173,-0.000370222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.80271,12,0.431547,-0.17597,-0.0346029,-0.109207,0.11457,-0.0350246,0.00355984,12,0.711616,0.0407483,0.0281789,-0.0650119,0.0337028,-0.00735142,0.000597201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.33418,12,0.0950844,0.120399,0.00681011,-0.0706441,0.0846763,-0.0329585,0.00422721,14,0.675059,-0.00178655,-0.000458103,-0.125143,0.0896104,-0.0246066,0.00245117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.01204,13,0.826535,0.10285,-0.0303097,0.0161299,-0.0247191,0.00806959,-0.000808996,15,0.138746,-0.089752,0.00144938,0.011702,-0.00394278,0.000632324,-4.4959e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.05584,15,-0.0139398,-0.296779,0.00111982,0.0166761,-0.00591614,0.00172448,-0.000200903,15,-0.000427538,0.0295312,0.000798083,0.0232936,-0.0235774,0.00686531,-0.000657521,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.30818,13,-0.860379,0.0910223,0.0235273,0.041208,-0.0128815,-0.00319258,0.00105636,15,-0.190044,-0.0855395,-0.00478842,0.0546256,-0.0739208,0.0314238,-0.00431525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.991,12,-0.00209144,0.0812265,-0.0180522,0.00480611,-0.00919788,0.00319798,-0.000331512,14,-0.680804,-0.0207178,0.00282744,0.0393415,-0.0295642,0.00785194,-0.000722605,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.02005,12,-0.235274,-0.11128,-0.000598881,0.0353977,-0.0194739,0.00397786,-0.000283196,12,-0.692685,-0.000663266,0.00656373,-0.0076819,0.00692376,-0.00167374,0.000127903,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0626,10,-0.69885,0.00169864,0.00137592,0.423701,-0.453613,0.173565,-0.0231519,10,-0.099468,0.0948742,-0.00362256,-0.00687904,-0.0124032,0.0082861,-0.00136738,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.97908,9,-0.45483,-0.00796645,-0.00657648,0.100648,-0.140807,0.0646992,-0.00987444,10,0.000750798,-0.0139079,-4.72507e-05,-0.0334587,0.0516959,-0.0237785,0.00358132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.01981,8,-0.610789,-0.00402904,0.00359517,-0.205694,0.302551,-0.137812,0.020639,10,0.0477417,0.0183642,-0.00359316,0.0873675,-0.132757,0.0604103,-0.00900367,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.88145,7,-0.172334,0.0784729,-0.00428464,-0.0175094,0.0154933,-0.0048072,0.000502345,10,-0.18474,-0.0787846,-0.00283749,-0.417877,0.345659,-0.0989983,0.00974001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.23769,7,0.121195,0.000428205,-0.00783415,0.00271044,-0.0211504,0.0111997,-0.00168351,8,-0.521098,0.0358374,0.0115481,-0.54421,0.615614,-0.236458,0.030788,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.55005,7,-0.233921,-0.111981,-0.0101899,-0.0877362,0.103515,-0.035616,0.00404314,7,0.0555342,0.085909,-0.00528324,0.34762,-0.325359,0.105447,-0.011728,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.90857,6,-0.197978,0.116815,-0.00187208,-0.00405031,0.0109022,-0.0089896,0.00192422,8,0.306468,-0.0171429,-0.00288739,1.23168,-1.54683,0.67598,-0.101304,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.22201,6,0.123213,0.0096236,0.0080017,0.135133,-0.0896119,0.0222998,-0.00199395,9,0.27622,0.0131633,-0.000629805,0.664572,-0.730025,0.275749,-0.0355902,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.64871,7,0.859596,0.120986,-0.0236852,0.0180973,-0.0157366,0.00361089,-0.000254941,10,0.142126,-0.0469545,0.000514028,-0.0070095,0.00448975,-0.000869093,5.54139e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
