Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.68858,1.8,0,0,0,-0.323354,0.374365,-0.160561,0.0245639,2.4,0,0,0,-0.0039281,0.00573668,-0.00281247,0.000469499,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.45933,1.55,-0.248787,-0.00625949,0.0189211,0.085776,-0.0585969,0.000537037,0.00434231,2.4,0.00206953,0.0013731,-0.000188451,-0.00019126,-0.00409993,0.00355307,-0.000828189,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.56269,1.3,-0.0937368,-0.00841943,-0.00561012,-0.179001,0.244115,-0.118877,0.0203091,2.4,-0.00537453,-0.00270827,0.000764322,-0.00830202,0.0208864,-0.0132587,0.00263856,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.57354,1.05,-0.1913,-0.000979402,0.00274874,-0.157072,0.28529,-0.164436,0.0313837,2.4,0.0154351,0.006642,-0.00229412,0.112794,-0.202169,0.115063,-0.0217546,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.55387,0.8,-0.0597011,0.0300263,-0.00111803,0.116385,-0.167434,0.0840331,-0.0146373,2.4,-0.0716524,-0.0311498,-0.000102385,-0.294079,0.435937,-0.226273,0.0405696,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.47571,0.8,0.0167412,-0.00697796,-0.00154722,-0.0516198,0.0808926,-0.0434286,0.00804822,2.15,-0.176431,-0.00564391,-0.00294374,-0.12093,0.239711,-0.148752,0.0304626,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.47571,0.8,-0.00113887,0.00478109,-5.63998e-05,0.0235921,-0.04602,0.0276153,-0.00548317,1.9,-0.126711,3.96209e-05,-0.00101341,-0.239334,0.361889,-0.195066,0.0365539,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.55387,0.8,-0.0121744,-0.00752701,0.00182506,-0.0885369,0.163133,-0.0941544,0.0180109,1.65,-0.176951,-0.00583676,-0.00300302,-0.179398,0.325797,-0.187599,0.0359139,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.55387,0.8,0.0612721,0.0315407,0.000399001,0.345314,-0.510409,0.264634,-0.0474262,1.4,-0.0702212,0.0315407,-0.000399001,0.1509,-0.2162,0.108472,-0.0189106,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.47571,1.05,0.176951,0.00583676,0.00300302,0.116006,-0.232075,0.144463,-0.029621,1.4,0.0198766,-0.00752701,-0.00190544,-0.0677244,0.10641,-0.0574902,0.0107209,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.47571,1.3,0.126711,7.00479e-05,0.00233304,0.237277,-0.361087,0.195129,-0.0366185,1.4,-0.00113887,0.00478109,6.7761e-05,0.0203686,-0.0420413,0.026115,-0.00531667,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.55387,1.55,0.176431,0.00564391,0.00294374,0.178313,-0.323072,0.185855,-0.0355624,1.4,-0.00941695,-0.00348898,0.000773609,-0.0342854,0.068936,-0.0412493,0.00805525,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.57354,1.8,0.0716524,-0.0311498,0.000235707,-0.140185,0.195842,-0.096055,0.0163996,1.4,0.0319337,0.0150132,0.000559016,0.832214,-1.25435,0.658663,-0.118876,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.56269,1.8,-0.0232983,0.006642,0.00108727,0.0830023,-0.12255,0.0630301,-0.0111959,1.65,0.0956501,-0.00112737,-0.00235068,0.781989,-1.21799,0.655128,-0.12045,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.45242,1.8,0.00129079,-0.00165299,0.00103637,0.00470649,-0.00959975,0.0060385,-0.00125761,1.9,0.0468684,-0.00420971,0.00280506,1.09211,-1.7604,0.995718,-0.194133,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.71049,1.8,-0.00133607,0.000685479,2.2045e-05,0.00294502,-0.00423895,0.00206617,-0.000343627,2.15,0.124394,0.00929685,-0.00946053,0.515398,-0.762544,0.384167,-0.0656124,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
