Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
4.48015,5,0,0,0,0.106156,-0.0495734,0.00834776,-0.000491161,6,0,0,0,0.00306688,-0.00167326,0.000305638,-1.89614e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.70733,8,0.925831,0.0355216,0.0398065,-0.117151,0.0534692,-0.00901225,0.000477282,6,-0.0307883,-0.00702738,0.0014259,-0.0114197,0.0148297,-0.00526663,0.000597514,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.06645,10,0.508104,0.0123172,0.0109442,-0.203912,0.227295,-0.0905348,0.0124543,6,0.0904909,0.0260215,-0.00194986,0.486752,-0.568304,0.229324,-0.0316886,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.95395,11,0.544804,0.00463267,0.00207722,-0.0450628,0.0379422,-0.0120386,0.0013653,6.5,0.114221,-0.013562,0.00134781,0.510982,-0.608716,0.255968,-0.0371303,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0979,12,0.481938,-0.000568994,-0.00113846,-0.0287182,0.0146744,-0.00291092,0.000210844,7,0.237514,0.0478058,0.00225212,0.297285,-0.229028,0.0611592,-0.00560717,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.89232,13,0.109368,-0.0602227,0.000105383,0.0106604,-0.00560862,0.00132526,-0.000119138,9,0.489725,-0.00792279,-0.00299934,0.345358,-0.286827,0.0828292,-0.0081976,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.75763,13,-0.0458741,0.00347429,0.0037483,-0.00143946,0.00292519,-0.00122837,0.000147133,11,0.428408,0.00389278,0.00132055,0.471676,-0.410382,0.123893,-0.0128264,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.41416,13,0.0614505,0.00943766,-0.00707279,0.0911051,-0.103488,0.0378845,-0.00462843,13,0.445241,-0.00847136,-0.00240546,0.6029,-0.605903,0.21048,-0.0250105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.21446,13,-0.23949,-0.0846368,-0.000534503,-0.00276072,-0.0101123,0.00773452,-0.00136329,14.5,0.289664,-0.0217256,0.00211899,0.60086,-0.649264,0.244196,-0.0315126,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.33069,12,-0.612079,-0.00216929,0.0115202,0.0502671,-0.0169663,-0.00265053,0.00107314,15.5,0.269602,0.0100819,-0.0012114,0.502032,-0.523732,0.188342,-0.0231595,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5632,11,-0.281629,-0.0545989,-0.00430983,0.0661809,-0.0355179,-0.00365653,0.00349995,16.5,0.182021,-0.0277614,0.0011849,1.49675,-2.29212,1.22254,-0.223676,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.8714,10.5,-0.380446,-0.102676,-0.00629589,0.0427896,-0.0248528,0.00539636,-0.00040586,17,0.162213,0.0226418,0.00135403,0.0586804,-0.038231,0.0083392,-0.000618074,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.10424,8,-0.848542,0.0226133,0.00285403,0.0690175,-0.0479658,0.0118189,-0.00101789,18,0.0246052,-0.0564761,-0.00189918,-0.160493,0.120966,-0.0317769,0.00287758,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.36537,6,-0.572146,-0.00790389,0.000418703,0.022637,-0.0108408,0.00204245,-0.000141554,17,-0.355738,-0.0107414,0.00307636,-0.193859,0.137474,-0.0339851,0.00288307,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.84604,4.5,-0.2621,0.0492,-0.00119548,0.0551034,-0.0508162,0.0151442,-0.00152046,15,-0.414625,-0.00865117,-3.13044e-05,-0.407459,0.34359,-0.10054,0.0100871,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.07896,4,-0.289233,-0.0557087,0.000869705,-0.0347245,0.0358261,-0.0107489,0.00105155,13,-0.439993,0.00484945,0.000743311,-0.275703,0.215215,-0.0583403,0.00541988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.27105,3,-0.137876,0.0545604,0.00222314,0.0272802,-0.0158329,0.00305969,-0.000201647,11,-0.407413,-0.00406468,-0.00175317,-0.0988799,0.0548457,-0.010609,0.000706013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.93375,3.5,0.131696,-0.0128852,-0.000752376,0.070537,-0.0562871,0.015922,-0.00155071,8,-0.569187,-0.000554101,0.00524117,-0.34714,0.291681,-0.0840077,0.00824884,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.04569,4,0.153506,0.0252861,0.00258969,0.941545,-1.08647,0.437988,-0.0607427,6,-0.190293,0.0688421,-0.00127858,0.118381,-0.121641,0.0442477,-0.00564292,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
